"suppliers_id";"supplier_name";"descript";"email";"phone_number";"legal_address";"registration_number_inn"
1;"ООО ""АгроСнаб""";"Поставщик семян и удобрений";"info@agrosnab.ru";"+7 (495) 777-88-99";"г. Москва, ул. Пушкина, д. 10";"123456789012"
2;"ИП Иванов И.И.";"Производитель садового инвентаря";"ivanov@mail.ru";"+7 (916) 111-22-33";"г. Санкт-Петербург, ул. Невский проспект, д. 20";"345678901234"
3;"ООО ""Зеленый Дом""";"Оптовая продажа комнатных растений";"opt@zelenyi-dom.ru";"+7 (499) 222-33-44";"г. Екатеринбург, ул. Малышева, д. 30";"567890123456"
4;"ООО ""ЭкоУдобрения""";"Поставщик органических удобрений";"eco@udobrenia.ru";"+7 (812) 333-44-55";"г. Казань, ул. Баумана, д. 40";"789012345678"
5;"ООО ""СадТехника""";"Импорт садового оборудования";"import@sadtehnika.ru";"+7 (473) 444-55-66";"г. Воронеж, ул. Революции 1905 года, д. 50";"901234567890"
6;"ООО ""Цветочный Рай""";"Поставщик цветочной рассады";"info@cvetochnyi-rai.ru";"+7 (863) 555-66-77";"г. Ростов-на-Дону, ул. Большая Садовая, д. 60";"112233445566"
7;"ИП Петров П.П.";"Производитель теплиц и парников";"petrov@mail.ru";"+7 (926) 666-77-88";"г. Новосибирск, ул. Красный проспект, д. 70";"223344556677"
8;"ООО ""АкваСтрой""";"Поставщик систем полива";"aqua@stroi.ru";"+7 (383) 777-88-99";"г. Омск, ул. Ленина, д. 80";"334455667788"
9;"ООО ""ЛандшафтДизайн""";"Услуги ландшафтного дизайна";"design@landshaft.ru";"+7 (846) 888-99-00";"г. Самара, ул. Куйбышева, д. 90";"445566778899"
10;"ООО ""ЗащитаРастений""";"Средства защиты растений от вредителей";"zashita@rastenii.ru";"+7 (499) 999-00-11";"г. Уфа, ул. Проспект Октября, д. 100";"556677889900"
