"categories_id";"category_name";"descript"
1;"Семена";"Различные типы семян растений для вашего сада"
2;"Инструменты";"Садовые инструменты, ручные инструменты и электроинструменты"
3;"Удобрения";"Удобрения и подкормка для растений для улучшения роста"
4;"Борьба с вредителями";"Решения для борьбы с вредителями и болезнями"
5;"Полив";"Системы полива, шланги и разбрызгиватели"
6;"Грунт и мульча";"Почвы для горшков, компост и варианты мульчи"
7;"Декор";"Садовые украшения и уличная мебель"
8;"Контейнеры";"Горшки, кашпо и другие контейнеры для выращивания"
9;"Освещение";"Решения для наружного освещения вашего сада"
10;"Защитная одежда";"Перчатки, маски и другая защитная одежда"
